,ANO,MES,EMPRESA,ORIGEM,DESTINO,TARIFA,ASSENTOS,cidade_origem,UF_origem,lat_origem,lon_origem,cidade_destino,UF_destino,lat_destino,lon_destino,Sigla_origem,Reg_origem,Sigla_destino,Reg_destino,DISTANCIA
2807170,2019,9,TAM,SNBR,SBSV,729.0,11,Barreiras,Bahia,-12.0789003372,-45.0089988708,Salvador,Bahia,-12.9086112976,-38.3224983215,BA,Nordeste,BA,Nordeste,731.941249559418
64238,2021,5,AZU,SBGR,SBQV,250.9,8,Sao Paulo,Sao-Paulo,-23.4355564117,-46.4730567932,Vitoria Da Conquista,Bahia,-14.8627996445,-40.8630981445,SP,Sudeste,BA,Nordeste,1120.628950671513
4995771,2021,11,AZU,SBMG,SBPA,658.9,7,Maringa,Parana,-23.4794445038,-52.01222229,Porto Alegre,Rio-Grande-do-Sul,-29.9944000244,-51.1713981628,PR,Sul,RS,Sul,729.4460639372463
1850324,2021,9,GLO,SBKP,SBFZ,442.2,1,Campinas,Sao-Paulo,-23.0074005127,-47.1344985962,Fortaleza,Ceara,-3.7762799263,-38.5326004028,SP,Sudeste,CE,Nordeste,2330.7376509173982
4804480,2019,2,PTB,SBQV,SBRP,733.0,1,Vitoria Da Conquista,Bahia,-14.8627996445,-40.8630981445,Ribeirao Preto,Sao-Paulo,-21.1363887787,-47.7766685486,BA,Nordeste,SP,Sudeste,1010.4751017724137
9392754,2020,9,TAM,SBMA,SBGL,421.01,1,Maraba,Para,-5.3685898781,-49.1380004883,Rio De Janeiro,Rio-de-Janeiro,-22.8099994659,-43.2505569458,PA,Norte,RJ,Sudeste,2040.4195799587167
2412770,2019,1,TAM,SBSP,SBRJ,373.95,1,Sao Paulo,Sao-Paulo,-23.6261100769,-46.6563873291,Rio De Janeiro,Rio-de-Janeiro,-22.9104995728,-43.1631011963,SP,Sudeste,RJ,Sudeste,365.70940508329494
1299048,2019,11,AZU,SBKP,SBCP,328.9,2,Campinas,Sao-Paulo,-23.0074005127,-47.1344985962,Campos Dos Goytacazes,Rio-de-Janeiro,-21.698299408,-41.301700592,SP,Sudeste,RJ,Sudeste,617.3908920401504
7052116,2022,3,TAM,SBRJ,SBSP,432.9,1,Rio De Janeiro,Rio-de-Janeiro,-22.9104995728,-43.1631011963,Sao Paulo,Sao-Paulo,-23.6261100769,-46.6563873291,RJ,Sudeste,SP,Sudeste,365.70940508329494
6998618,2022,3,TAM,SBFZ,SBCF,2814.4,1,Fortaleza,Ceara,-3.7762799263,-38.5326004028,Belo Horizonte,Minas-Gerais,-19.6244430542,-43.9719429016,CE,Nordeste,MG,Sudeste,1858.9980416202436
4774828,2019,2,ONE,SBFL,SBBE,578.0,1,Florianopolis,Santa Catarina,-27.6702785492,-48.5525016785,Belem,Para,-1.3792500496,-48.4762992859,SC,Sul,PA,Norte,2924.3579821751678
3800251,2019,8,TAM,SBGL,SBBR,219.9,8,Rio De Janeiro,Rio-de-Janeiro,-22.8099994659,-43.2505569458,Brasilia,Federal-District,-15.8691673279,-47.9208335876,RJ,Sudeste,DF,Centro-Oeste,914.2579345589958
6534339,2021,4,AZU,SBVT,SBBR,324.9,7,Vitoria,Espirito-Santo,-20.2580566406,-40.2863883972,Brasilia,Federal-District,-15.8691673279,-47.9208335876,ES,Sudeste,DF,Centro-Oeste,943.1726186751258
